NAME,DESCRIPTION,Name_cluster,Desc_cluster,
EUC - Encompass Property Inspections,Suite of Applications to load and process Encompass Property Inspections. EUC is Encompass Underwriting Center formerly RMC (Risk Management Center).,,,
EUC - Interlink Analytics Data Pull,Nightly job to pull data from Interlink Analytics DSS Universe for use in Encompass Underwriting Center processes. EUC is Encompass Underwriting Center formerly RMC (Risk Management Center).,,9,
EVENT DRIVEN ROUTER (EDR),Enterprise event routing infrastructure to move business events between systems. Developed as part of the CFR initiative but supports any event traffic needed across AORs.,,9,
EVENT RECORDER,Tibco BE Event Recorder for Sales,,,
Evolver,Evolver is the genetic algorithm optimization add-in for Microsoft Excel.,,,
Evolver v4.0,Evolver is an optimization plug-in for Excel currently used by Asset-Liability Management (ALM) to perform Solver-like analyses using genetic algorithms.,,,
Exception Monitor Web,The purpose of FAS 133 (Webapp) is to automate the asset fair value hedging process for swaps as per the Financial Accounting Standards No. 133.,,,
Excess & Surplus Vendor Feed,Formatting and data validation of Excess & Surplus policy info(comes in lines 70 & 92) which comes through Region-01 on premium side,,9,
Excess and Surplus File Transfers,"File transfers from Excess and Surplus, using the Tibco environment.",,,
Executive Advantage,Executive Advantage is about enhancing company investment in Allstate Agencies and their continued growth via cash-equivalent awards proportionate to their performance. It provides an annual allocation of funds to EAs (Established and Start-Ups) and EFSs to help grow their business. The funds are provided via a Declining Balance Card (DBC) which can be used for of goods and services offered by internal and approved external supplier,,9,
EXPENSE ALLOCATION TOOL,"The EXPENSE ALLOCATION TOOL is used by Allstate Financial's expense coordinators and managers to allocate expenses across cost centers, products and companies.",,,
Expense Plan Consolidation Tool,Allows Allstate Financial expense managers to upload and consolidate financial plans based on monthly actual expenses.,,,
Exposure Management Reports,Application creates exposure reports.,,,
Express CAT Central,CAT Central website to house all CAT related information,,,
Express Feedback,Site used for MCO Advocates to Communicate to/with Express,,,
Express Home Page,Home Page for Express Claims,,9,
Express MMPO,Claims Express application that acts a a backup website to take manual loss reports,,9,
Express Repair Link,"Send assignments, configure stores, maintain slots, locate stores, performance metrics, maintain users, status updates.",,,
Express Scribe v 4.32,"A typist can install it on their computer and control audio playback using a transcription foot pedal or keyboard (with 'hot' keys). This computer transcriber application also offers valuable features for typists including variable speed playback, multi-channel control, file management and more.",,,
Express Welcome Page,Welcome Page (links) for Claims Express Organization,,9,
External Vendor CTS JPMorgan Bank Encompass Claims,Encompass Claims Bank Account,,,
EZ-Data,Broker Dealer Database containing Agent & their cooresponding book of business information which then is sent to the Agents where the EZ Data software is loaded on their desktops,,9,
Facility Kiosk,"Desktop kiosk application. Its purpose is to retrieve outlook meeting room/schedule information from exchange, and display it. The user may select any day from a calendar, and view all meetings. This is for Dallas data center only. Facility Services Intranet site only lists home office plazas.",,,
Fact Finder,Fact Finder is a market test set up to help an agent perform insurance reviews.,,9,
Factiva,"Web product provides access to more than 14,000 sources (such as newspapers, journals, magazines, news and radio transcripts, etc) from 152 countries in 22 languages, including more than 120 continuously updated newswires.",,9,
FAS 91,Web application used to process as per Financial Accounting Standards No. 91.,,,
FDW,Allstate Financial data Warehouse - now replaced by SAP BUSINESS WAREHOUSE PW1,,9,
Feed Metrics Web,Displays the feed outages and delays on daily basis.,,,
FeedbackWS,"Takes input from Gateway Portal, IA web site or the IA FAQ web site and submits this information to the RightNow Technologies system to create an incident.",,,
FEP ORION,"FEP- Front end processor performs translations, validations, and allows correction of Premium, Claim, and various Expense data for financial reporting. FEP also enables batch and online adjustments to financial data thereby minimizing/eliminating need to rerun front office system during close. Orion is a DB2 database that contained the level of details necessary to support Operational Acct, and is the source for Schedule P.",,,
Field Sales Leader Reports,"FSLR â€“ (Field Sales Leaders reports) is .NET wrapper that handles navigation to: Roll up reports of compensation data of agents aligned to the market, territory and region. Field Sales Leaders and Home office users are accessing reports via Agency Sales Dashboard. Agent Transaction and Sub Producer Compensation reports. Field Sales Leaders, Home office users and agencies are accessing reports via MAR.",,,
FILE AND PRINT SERVICES - FARM,Generic entry to accomidate both DC Migration and new server builds,,,
File Open,"FileOpen Systems provides digital rights management software to prevent piracy and control access to documents, on your Web site, via email, on DVDs, CDs and mobile devices.",,,
File Retention System,An online system used for organizing and tracking inventory of files that helps to identify the box and location in which the file(s) reside.,,,
File Summary Data Base,The File Summary Database (FSDB) is a tool used by the Claim Department to get a Claim Snapshot (summary) to capture exposure with narrative. FSDB Web application is used for tracking policy exposure and documenting all aspects of the claims. FSDB uses Authentication is from SCEPTOR application. FSDB is online claim tracking system. Used by Direct Claim Area Group Users.,,,
FINANCE OLAP,Allstate Financial Finance OLAP envrionment used for Financial internal and external reporting.,,9,
Financial Accounting Standards 133,Web Application used toautomate the asset fair value hedging process for swaps as per the Financial Accounting Standards No. 133.,,,
Financial Balancing,"The balancing functions for various Life data sources (M&D, Ralie, Valuation, Atlas, etc.) to SAP G/L.",,,
Financial Payment Audit System (FPAS),FPAS is a file audit and validation system to track payment related files for payments processed by third party vendors.,,9,
Financial Services - Online Data Entry (ODE) System,Data entry utility for premium policy error correction for personal lines,,,
FinCadXL,A Microsoft Excel add-in containing over 1,,,
FleetWeb,FleetWeb is a car fleet management web portal service. It permits approved employees to self-provision into the system and submit request whilst administrators can access reporting functions. Permits calculation of personal usage allowances.,,,
Flood Agency Automation,Send flood transactions from vendor to Alliance,,,
Flow Chart,Create flowcharts like visio,,,
FNOL FEEDER,"FNOL captures claim information and verifies (Interlink) Policy, Item, and Coverage data. FNOL is also responsible for setting up roles for each person involved in the loss.",,,
